Employee_ID,AFM,Name,Surname,Email,Phone
200001,123456781,Liam,Smith,liam.s@zoo.com,6901000001
200002,123456782,Olivia,Johnson,olivia.j@zoo.com,6901000002
200003,123456783,Noah,Williams,noah.w@zoo.com,6901000003
200004,123456784,Emma,Brown,emma.b@zoo.com,6901000004
200005,123456785,Oliver,Jones,oliver.j@zoo.com,6901000005
200006,123456786,Ava,Garcia,ava.g@zoo.com,6901000006
200007,123456787,Elijah,Miller,elijah.m@zoo.com,6901000007
200008,123456788,Sophia,Davis,sophia.d@zoo.com,6901000008
200009,123456789,William,Rodriguez,william.r@zoo.com,6901000009
200010,123456790,Isabella,Martinez,isabella.m@zoo.com,6901000010
200011,123456791,James,Hernandez,james.h@zoo.com,6901000011
200012,123456792,Charlotte,Lopez,charlotte.l@zoo.com,6901000012
200013,123456793,Benjamin,Gonzalez,ben.g@zoo.com,6901000013
200014,123456794,Amelia,Wilson,amelia.w@zoo.com,6901000014
200015,123456795,Lucas,Anderson,lucas.a@zoo.com,6901000015
200016,123456796,Mia,Thomas,mia.t@zoo.com,6901000016
